的	16511924
不	12286981
一	11359986
我	9791456
是	8925991
人	8895730
有	7235409
了	6415840
大	6262013
國	5376374
來	5356200
生	5172616
在	5037451
子	4896232
們	4768127
中	4413569
上	4371708
他	4314212
時	4191655
小	4065568
地	3822975
出	3750853
以	3743792
學	3684783
可	3632331
自	3630818
這	3618713
會	3552643
成	3528435
家	3519861
到	3458330
為	3448747
天	3429078
心	3410417
年	3202624
然	3159250
要	3139580
得	3123441
說	3102259
過	3040223
個	2973145
著	2960032
能	2896484
下	2866223
動	2807718
發	2768379
臺	2747700
麼	2671039
車	2656917
那	2639769
行	2636743
經	2633213
去	2621108
好	2609004
開	2606987
現	2586813
就	2563108
作	2534864
後	2492499
多	2474847
方	2469299
如	2465768
事	2451647
公	2418864
看	2399194
也	2394151
長	2367420
面	2331107
力	2329090
起	2299837
裡	2281176
高	2200480
用	2165680
業	2151558
你	2130376
因	2084480
而	2080445
分	2055732
市	2032532
於	2032532
道	2020932
外	2008323
沒	2002775
無	2001262
同	2000758
法	1998236
前	1988653
水	1942253
電	1931662
民	1929140
對	1903922
兒	1888792
日	1887783
之	1867609
文	1866600
當	1844913
教	1835835
新	1834826
意	1824739
情	1820704
所	1815661
實	1809609
工	1808600
全	1802548
定	1802044
美	1794983
理	1771783
頭	1764722
本	1761696
明	1761191
氣	1761191
進	1726391
樣	1722861
都	1721852
主	1718321
間	1711260
老	1695626
想	1694113
重	1685539
體	1680999
山	1636617
物	1633086
知	1622495
手	1619469
相	1613417
回	1594251
性	1581138
果	1564495
政	1558442
只	1540286
此	1534234
代	1521625
和	1506999
活	1505990
媽	1505990
親	1504981
化	1500442
加	1500442
影	1475225
什	1464129
身	1463624
己	1442442
灣	1441937
機	1437903
部	1431850
常	1421259
見	1418737
其	1405624
正	1405120
世	1404616
北	1399572
女	1393520
花	1393520
合	1388981
場	1388981
海	1383433
者	1372841
表	1345607
問	1341067
立	1324424
西	1321398
還	1302737
最	1291137
感	1265415
告	1263902
度	1257850
光	1255832
點	1255328
色	1243223
種	1239189
少	1238180
風	1232128
資	1215989
她	1214475
期	1197328
利	1196319
