的	40433140
是	22484522
一	18980736
不	17841722
我	14811381
有	12253005
个	11175098
这	9608099
人	9544514
在	9026720
了	8230926
就	8121141
你	6742387
大	6732706
要	5842245
以	5775446
来	5634636
为	5528752
上	5493858
都	5417817
时	5185987
也	5159434
到	5142162
说	4838531
自	4789452
能	4771021
没	4737628
可	4590964
看	4588599
很	4558387
会	4556871
他	4525849
么	4496210
多	4369180
和	4277054
好	4271280
学	4138088
还	4040629
中	3896377
对	3831464
得	3800143
后	3792502
过	3682159
们	3665714
那	3603856
生	3480648
国	3447265
出	3359393
下	3341282
然	3263041
家	3135312
年	3122279
如	3080813
小	2996340
问	2969001
想	2967068
本	2923228
但	2875095
而	2800183
用	2796483
最	2757767
去	2757449
于	2715065
所	2694470
实	2679159
子	2672896
己	2647804
现	2618398
天	2608892
里	2552331
之	2549385
什	2532377
发	2516045
经	2513394
只	2499707
分	2490018
比	2463826
其	2371869
前	2365208
面	2356323
当	2345594
开	2317553
主	2316539
因	2298941
成	2294199
种	2241930
作	2239568
地	2231915
方	2231074
心	2170334
点	2136539
觉	2105850
做	2086964
些	2082769
真	2068795
果	2055630
着	2041671
高	2035390
回	1975041
答	1972062
无	1958248
知	1956776
事	1947876
题	1945800
同	1926537
理	1911502
道	1882219
定	1857488
感	1811043
样	1786241
被	1748850
女	1748485
几	1730615
情	1725801
意	1723163
业	1722674
起	1719279
从	1718693
老	1708810
行	1699974
别	1687161
给	1649340
两	1638811
手	1610011
体	1584068
三	1583130
更	1560880
工	1558433
关	1529090
文	1521302
常	1515063
法	1501105
第	1499360
正	1497740
她	1495472
公	1473475
者	1462320
动	1458807
打	1444477
性	1442704
相	1441325
身	1436248
全	1432337
直	1432077
机	1420277
候	1416024
力	1398818
把	1394897
次	1390371
太	1381251
美	1371397
部	1371017
明	1370399
间	1327223
重	1307434
电	1293036
让	1288779
先	1273674
内	1263548
外	1259651
长	1231480
应	1213699
度	1198886
男	1188886
新	1184299
再	1181757
喜	1169796
或	1159879
每	1157274
数	1154387
爱	1148159
基	1139159
友	1134846
认	1132764
进	1129729
考	1125993
原	1122307
完	1121326
少	1117671
并	1113405
日	1109526
接	1093602
合	1092485
加	1090312
结	1078726
等	1076810
二	1072951
已	1071374
非	1071127
特	1069189
话	1062035
欢	1036903
又	1031798
论	1027982
社	1026088
吃	1024896
东	1021562
提	1019216
名	1009818
通	1005385
算	998613
才	997413
信	996566
平	980205
十	979335
怎	975429
代	973631
该	969547
水	967712
跟	962214
单	958396
表	954304
区	951129
各	945791
教	945175
入	934482
与	932467
目	922052
反	920601
需	906168
较	900237
活	896912
位	896679
头	894058
见	892038
产	888191
且	887078
买	885690
像	885064
西	875822
至	873515
网	872074
类	865190
朋	865176
世	858094
量	854730
放	854410
何	844836
系	834199
找	830228
始	825523
车	824429
写	821503
化	821211
科	815727
期	813805
专	813319
影	808118
场	806417
首	803182
品	802224
师	800143
总	799098
计	797688
物	796633
变	784016
选	772069
受	763153
语	757811
民	757147
程	750346
资	749656
白	747390
难	746528
带	743023
件	742407
图	740871
利	730699
记	727405
思	723896
听	723226
清	719952
书	719569
制	718087
观	717889
越	717274
口	714166
门	713320
视	710232
此	708129
路	707595
确	707214
价	704921
安	704606
气	701114
孩	700821
简	700481
保	700392
强	695778
习	690290
游	690055
交	688379
玩	687934
边	679432
市	675313
神	672588
眼	670334
流	665914
设	665877
建	657681
校	654617
走	652675
月	652259
谢	649694
容	647350
金	647177
格	645476
使	643491
任	640974
必	640497
微	637203
四	636634
读	632756
刚	632696
界	630179
钱	628819
死	623640
风	622850
今	616323
儿	612683
妈	611555
推	611409
处	610419
战	607424
请	606418
收	605593
哪	605317
百	603744
海	602476
万	600752
及	598072
管	597178
它	596695
质	595038
整	593477
张	592764
拿	584497
医	583093
历	581260
便	580506
干	578261
试	577718
司	575566
传	575504
技	575104
北	574725
某	574587
英	573711
级	571426
哈	570961
马	570468
字	570006
片	566516
求	560444
色	560181
导	559379
识	558884
由	558581
花	557936
向	556991
包	556810
黑	554674
差	554324
注	551842
服	550567
根	550174
术	547465
台	545224
评	544306
线	541418
音	540633
讲	539959
政	539091
式	538948
深	537107
毕	536009
条	534347
运	530310
半	530197
持	529154
近	528758
光	527814
商	525802
照	525532
转	524853
指	524293
乐	523466
早	523196
快	522404
复	521611
五	520603
空	519834
员	519180
精	514008
虽	512736
段	512319
改	507792
易	507514
义	505013
望	504875
装	504768
案	504718
据	503848
够	501832
统	501729
决	498261
立	497956
般	497311
房	492491
拉	485700
住	482443
周	481596
初	480622
亲	477681
言	477621
标	477180
概	476582
演	476040
斯	475277
叫	474749
往	474434
存	474295
将	474054
满	473483
准	470840
节	470327
告	469566
研	466589
超	465695
联	465530
普	462004
绝	461514
球	459623
军	459019
优	458931
角	458104
除	456558
离	454269
城	453424
南	446332
证	445413
错	445275
句	444741
形	443001
远	442937
随	442073
功	440238
许	440137
务	438768
费	438375
达	433777
画	433732
却	429399
另	424931
故	422981
广	422890
造	420775
脑	420260
具	419664
德	419536
戏	418996
王	416714
调	415064
底	414174
值	411562
低	411275
希	410278
晚	409636
热	409408
参	408465
极	407387
未	406583
众	404790
失	404761
即	404216
规	404004
轻	400939
